station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP
None, None, None, 2010-09-06 00:00:00, 11.4, 14.9
None, None, None, 2010-09-07 00:00:00, 12.7, 15.8
None, None, None, 2010-09-08 00:00:00, 13.7, 18.4
None, None, None, 2010-09-09 00:00:00, 11.6, 15.6
None, None, None, 2010-09-10 00:00:00, 13.0, 15.8
None, None, None, 2010-09-11 00:00:00, 11.8, 15.1
None, None, None, 2010-09-12 00:00:00, 12.0, 13.8
None, None, None, 2010-09-13 00:00:00, 12.8, 14.9
None, None, None, 2010-09-14 00:00:00, 13.3, 15.9
None, None, None, 2010-09-15 00:00:00, 13.9, 17.0
None, None, None, 2010-09-16 00:00:00, 14.9, 17.5
None, None, None, 2010-09-17 00:00:00, 15.1, 16.9
None, None, None, 2010-09-18 00:00:00, 14.4, 16.4
None, None, None, 2010-09-19 00:00:00, 14.9, 16.4
None, None, None, 2010-09-20 00:00:00, 13.5, 17.2
None, None, None, 2010-09-21 00:00:00, 11.6, 15.3
None, None, None, 2010-09-22 00:00:00, 12.2, 18.2
None, None, None, 2010-09-23 00:00:00, 12.2, 14.8
None, None, None, 2010-09-24 00:00:00, 12.7, 15.4
None, None, None, 2010-09-25 00:00:00, 13.8, 20.0
None, None, None, 2010-09-26 00:00:00, 14.2, 17.3
None, None, None, 2010-09-27 00:00:00, 13.9, 17.4
None, None, None, 2010-09-28 00:00:00, 14.9, 20.4
None, None, None, 2010-09-29 00:00:00, 12.1, 16.2
None, None, None, 2010-09-30 00:00:00, 11.6, 15.4
None, None, None, 2010-10-01 00:00:00, 13.7, 18.6
None, None, None, 2010-10-02 00:00:00, 13.9, 17.1
None, None, None, 2010-10-03 00:00:00, 12.8, 14.8
None, None, None, 2010-10-04 00:00:00, 10.4, 14.4
None, None, None, 2010-10-05 00:00:00, 11.5, 13.5
None, None, None, 2010-10-06 00:00:00, 11.0, 15.7
None, None, None, 2010-10-07 00:00:00, 11.1, 13.6
None, None, None, 2010-10-08 00:00:00, 12.7, 16.3
None, None, None, 2010-10-09 00:00:00, 13.3, 15.2
None, None, None, 2010-10-10 00:00:00, 12.5, 17.0
None, None, None, 2010-10-11 00:00:00, 10.1, 12.6
None, None, None, 2010-10-12 00:00:00, 10.8, 13.2
None, None, None, 2010-10-13 00:00:00, 10.5, 13.8
None, None, None, 2010-10-14 00:00:00, 10.8, 12.5
None, None, None, 2010-10-15 00:00:00, 9.4, 12.2
None, None, None, 2010-10-16 00:00:00, 7.7, 11.6
None, None, None, 2010-10-17 00:00:00, 7.3, 12.0
