station_observations
ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.0, 2010-08-09 00:00:00, 12.5, 16.1, None
0.0, 2010-08-10 00:00:00, 11.9, 16.8, None
0.0, 2010-08-11 00:00:00, 11.9, 14.7, None
0.0, 2010-08-12 00:00:00, 11.9, 14.3, None
0.0, 2010-08-13 00:00:00, 10.2, 20.2, None
0.2, 2010-08-14 00:00:00, 11.6, 27.3, None
0.0, 2010-08-15 00:00:00, 12.7, 29.1, None
0.0, 2010-08-16 00:00:00, 12.8, 21.6, None
0.0, 2010-08-17 00:00:00, 10.9, 14.8, None
0.0, 2010-08-18 00:00:00, 10.7, 15.3, None
0.0, 2010-08-19 00:00:00, 11.7, 14.5, None
0.0, 2010-08-20 00:00:00, 11.1, 15.3, None
6.2, 2010-08-21 00:00:00, 9.7, 12.3, None
0.0, 2010-08-22 00:00:00, 11.0, 15.1, None
0.0, 2010-08-23 00:00:00, 10.7, 18.4, None
0.0, 2010-08-24 00:00:00, 11.6, 21.1, None
0.0, 2010-08-25 00:00:00, 11.4, 16.0, None
6.8, 2010-08-26 00:00:00, 10.5, 14.0, None
2.6, 2010-08-27 00:00:00, 10.4, 13.6, None
0.0, 2010-08-28 00:00:00, 11.2, 13.5, None
0.0, 2010-08-29 00:00:00, 10.5, 15.2, None
2.8, 2010-08-30 00:00:00, 10.4, 14.7, None
32.2, 2010-08-31 00:00:00, 11.3, 13.7, None
0.0, 2010-09-01 00:00:00, 10.9, 14.6, None
0.0, 2010-09-02 00:00:00, 11.9, 20.1, None
0.4, 2010-09-03 00:00:00, 10.3, 14.9, None
0.0, 2010-09-04 00:00:00, 11.1, 13.7, None
2.6, 2010-09-05 00:00:00, 10.4, 13.8, None
9.6, 2010-09-06 00:00:00, 10.2, 12.7, None
0.0, 2010-09-07 00:00:00, 10.1, 13.4, None
0.2, 2010-09-08 00:00:00, 8.7, 13.8, None
0.0, 2010-09-09 00:00:00, 8.0, 13.7, None
0.6, 2010-09-10 00:00:00, 10.4, 13.3, None
3.8, 2010-09-11 00:00:00, 9.8, 13.2, None
5.8, 2010-09-12 00:00:00, 10.7, 12.6, None
0.2, 2010-09-13 00:00:00, 10.2, 16.8, None
5.8, 2010-09-14 00:00:00, 11.3, 15.7, None
5.0, 2010-09-15 00:00:00, 11.5, 17.2, None
0.4, 2010-09-16 00:00:00, 11.5, 17.8, None
0.0, 2010-09-17 00:00:00, 10.2, 18.9, None
4.6, 2010-09-18 00:00:00, 10.8, 13.4, None
26.8, 2010-09-19 00:00:00, 10.6, 13.2, None
1.6, 2010-09-20 00:00:00, 9.6, 13.7, None
0.2, 2010-09-21 00:00:00, 6.7, 14.5, None
0.2, 2010-09-22 00:00:00, 6.8, 16.5, None
2.6, 2010-09-23 00:00:00, 10.3, 13.8, None
33.4, 2010-09-24 00:00:00, 11.4, 14.6, None
44.4, 2010-09-25 00:00:00, 12.9, 16.5, None
0.2, 2010-09-26 00:00:00, 11.5, 16.9, None
5.8, 2010-09-27 00:00:00, 13.7, 16.8, None
0.6, 2010-09-28 00:00:00, 11.1, 15.0, None
0.0, 2010-09-29 00:00:00, 8.3, 12.6, None
0.0, 2010-09-30 00:00:00, 7.0, 17.7, None
0.2, 2010-10-01 00:00:00, 10.0, 21.0, None
0.0, 2010-10-02 00:00:00, 11.0, 14.0, None
0.4, 2010-10-03 00:00:00, 9.9, 13.0, None
0.4, 2010-10-04 00:00:00, 9.4, 12.5, None
0.0, 2010-10-05 00:00:00, 6.4, 11.2, None
0.0, 2010-10-06 00:00:00, 8.3, 15.4, None
0.0, 2010-10-07 00:00:00, 9.7, 16.1, None
9.6, 2010-10-08 00:00:00, 12.8, 14.7, None
24.8, 2010-10-09 00:00:00, 13.1, 15.5, None
0.0, 2010-10-10 00:00:00, 8.5, 16.6, None
2.8, 2010-10-11 00:00:00, 7.5, 10.4, None
0.2, 2010-10-12 00:00:00, 9.8, 12.4, None
0.2, 2010-10-13 00:00:00, 10.2, 15.5, None
2.8, 2010-10-14 00:00:00, 7.3, 13.3, None
0.2, 2010-10-15 00:00:00, 6.0, 10.8, None
0.0, 2010-10-16 00:00:00, 4.6, 10.7, None
0.0, 2010-10-17 00:00:00, 4.0, 10.8, None
1.8, 2010-10-18 00:00:00, 8.6, 10.6, None
0.2, 2010-10-19 00:00:00, 10.3, 13.9, None
0.0, 2010-10-20 00:00:00, 8.5, 14.3, None
0.2, 2010-10-21 00:00:00, 7.8, 14.2, None
10.6, 2010-10-22 00:00:00, 10.7, 13.5, None
3.6, 2010-10-23 00:00:00, 10.3, 11.9, None
13.8, 2010-10-24 00:00:00, 9.8, 12.3, None
22.8, 2010-10-25 00:00:00, 9.2, 11.8, None
11.0, 2010-10-26 00:00:00, 8.6, 10.1, None
1.0, 2010-10-27 00:00:00, 7.7, 10.2, None
3.8, 2010-10-28 00:00:00, 7.8, 9.0, None
1.6, 2010-10-29 00:00:00, 8.8, 11.3, None
14.8, 2010-11-04 00:00:00, 9.3, 12.4, None
None, 2010-11-05 00:00:00, 6.8, 9.7, None
10.2, 2010-11-06 00:00:00, 6.7, 9.3, None
0.0, 2010-11-08 00:00:00, 3.7, 7.5, None
9.6, 2010-11-09 00:00:00, 5.3, 6.9, None
0.0, 2010-11-10 00:00:00, 3.1, 7.3, None
13.6, 2010-11-11 00:00:00, 6.1, 8.5, None
9.8, 2010-11-12 00:00:00, 3.7, 7.6, None
0.0, 2010-11-18 00:00:00, 1.7, 4.5, None
0.0, 2010-11-19 00:00:00, -0.1, 2.5, None
0.0, 2010-11-21 00:00:00, -0.8, 2.3, None
0.0, 2010-11-22 00:00:00, -6.4, 0.5, None
0.0, 2010-11-23 00:00:00, -5.6, -0.9, None
0.0, 2010-11-24 00:00:00, -1.8, 0.0, None
20.6, 2010-11-25 00:00:00, -0.9, 2.4, None
30.6, 2010-11-26 00:00:00, 2.3, 5.4, None
4.6, 2010-11-27 00:00:00, 3.2, 5.6, None
0.0, 2010-12-05 00:00:00, -0.7, 4.2, None
0.0, 2010-12-30 00:00:00, -1.5, 1.7, None
0.0, 2010-12-31 00:00:00, -1.2, 1.7, None
0.0, 2011-01-02 00:00:00, -1.3, 2.9, None
0.0, 2011-01-03 00:00:00, -1.1, 2.6, None
13.0, 2011-01-04 00:00:00, 1.3, 3.4, None
